query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
239,1607205848130524,1607206115563030,1607205838013162,1607206114321766,1607205850009498,1607206116805426,1607205849378843,1607206116802626,1607205848143580,1607206115576702
24,1607205836663287,1607205841447277,1607205835467985,1607205840189277,1607205838670130,1607205842717021,1607205837936110,1607205842709605,1607205836670222,1607205841467238
240,1607205848130527,1607206116833081,1607205838024769,1607206115590642,1607205850009518,1607206118072180,1607205849378844,1607206118067384,1607205848143582,1607206116847026
241,1607205848130528,1607206118107849,1607205838036850,1607206116865659,1607205850009535,1607206119370819,1607205849378845,1607206119367856,1607205848143584,1607206118121956
242,1607205848130530,1607206119396638,1607205838048486,1607206118165799,1607205850009552,1607206120636618,1607205849378846,1607206120632113,1607205848143585,1607206119410555
243,1607205848130531,1607206120663247,1607205838060805,1607206119436941,1607205850009570,1607206121934395,1607205849378846,1607206121931689,1607205848143586,1607206120677211
244,1607205848130533,1607206121960826,1607205838072862,1607206120692473,1607205850009586,1607206123207250,1607205849378847,1607206123202553,1607205848143588,1607206121974727
245,1607205848130535,1607206123229974,1607205838084946,1607206121983248,1607205850009603,1607206124494057,1607205849378848,1607206124491334,1607205848143590,1607206123243720
246,1607205850008885,1607206124522172,1607205838097492,1607206123259297,1607205851867838,1607206125760617,1607205851258605,1607206125757817,1607205850022050,1607206124536338
247,1607205850008892,1607206125789217,1607205838109398,1607206124545881,1607205851877614,1607206127032993,1607205851258609,1607206127030237,1607205850022054,1607206125803231
248,1607205850008894,1607206127055900,1607205838121653,1607206125812370,1607205851877638,1607206128308094,1607205851258610,1607206128305334,1607205850022056,1607206127070233
249,1607205850008897,1607206128335540,1607205838133455,1607206127078290,1607205851877665,1607206129573536,1607205851258611,1607206129570838,1607205850022057,1607206128349353
25,1607205836663292,1607205842734186,1607205835479940,1607205841478876,1607205838670151,1607205844028294,1607205837936111,1607205844025474,1607205836670223,1607205842746784
250,1607205850008898,1607206129600266,1607205838145292,1607206128357873,1607205851877687,1607206130860421,1607205851258612,1607206130853946,1607205850022059,1607206129614148
251,1607205850008900,1607206130882731,1607205838156767,1607206129623244,1607205851877708,1607206132144902,1607205851258613,1607206132141859,1607205850022060,1607206130900694
252,1607205850008902,1607206132172154,1607205838168684,1607206130905603,1607205851877729,1607206133415601,1607205851258614,1607206133411084,1607205850022062,1607206132186040
253,1607205850008904,1607206133442175,1607205838180455,1607206132200291,1607205851877747,1607206134693852,1607205851258615,1607206134691057,1607205850022064,1607206133456374
254,1607205850008906,1607206134715998,1607205838192076,1607206133464817,1607205851877767,1607206135957333,1607205851258616,1607206135954551,1607205850022065,1607206134729627
255,1607205850008908,1607206135984551,1607205838203784,1607206134738780,1607205851877785,1607206137250413,1607205851258632,1607206137247645,1607205850022067,1607206135998554
256,1607205850008910,1607206137277281,1607205838215717,1607206136006892,1607205851877804,1607206138513618,1607205851258633,1607206138510879,1607205850022068,1607206137291456
257,1607205850008912,1607206138540495,1607205838227424,1607206137299878,1607205851877824,1607206139769708,1607205851258633,1607206139766890,1607205850022070,1607206138552047
258,1607205850008914,1607206139800396,1607205838239195,1607206138563441,1607205851877845,1607206141030871,1607205851258634,1607206141026263,1607205850022071,1607206139813196
259,1607205850008916,1607206141060829,1607205838251148,1607206139832668,1607205851877862,1607206142321059,1607205851258635,1607206142317912,1607205850022075,1607206141074228
26,1607205836663296,1607205844049056,1607205835491663,1607205842765122,1607205838670166,1607205845303386,1607205837936112,1607205845300454,1607205836670225,1607205844062467
260,1607205850008917,1607206142344400,1607205838262804,1607206141087083,1607205851877887,1607206143586532,1607205851258636,1607206143583809,1607205850022076,1607206142367091
261,1607205850008919,1607206143613557,1607205838274847,1607206142366731,1607205851877908,1607206144853562,1607205851258636,1607206144850706,1607205850022078,1607206143634424
262,1607205850008921,1607206144889304,1607205838286520,1607206143635731,1607205851877928,1607206146119847,1607205851258637,1607206146116998,1607205850022079,1607206144904262
263,1607205850008922,1607206146148996,1607205838298318,1607206144932819,1607205851877947,1607206147388126,1607205851258638,1607206147385354,1607205850022081,1607206146162855
264,1607205850008924,1607206147418157,1607205838310097,1607206146183334,1607205851877966,1607206148701556,1607205851258639,1607206148698877,1607205850022082,1607206147442313
265,1607205850008926,1607206148728405,1607205838321772,1607206147445375,1607205851877985,1607206149966040,1607205851258640,1607206149961198,1607205850022084,1607206148742577
266,1607205850008928,1607206149989259,1607205838333995,1607206148750827,1607205851878011,1607206151249033,1607205851258641,1607206151246054,1607205850022085,1607206150003111
267,1607205850008929,1607206151275415,1607205838670814,1607206150011539,1607205851878034,1607206152513138,1607205851258642,1607206152507968,1607205850022086,1607206151289077
268,1607205850008932,1607206152541205,1607205838670877,1607206151300681,1607205851878069,1607206153800050,1607205851258643,1607206153796925,1607205850022088,1607206152555358
269,1607205850008935,1607206153826633,1607205838671124,1607206152564512,1607205851878089,1607206155056784,1607205851258643,1607206155054112,1607205850022089,1607206153840236
27,1607205836663301,1607205845327447,1607205835503290,1607205844070385,1607205838670180,1607205846573985,1607205837936113,1607205846570872,1607205836670226,1607205845342177
270,1607205850008944,1607206155087360,1607205838671157,1607206153855573,1607205851878105,1607206156318307,1607205851258644,1607206156315572,1607205850022090,1607206155101918
271,1607205850008950,1607206156348254,1607205838671186,1607206155110116,1607205851878119,1607206157579124,1607205851258645,1607206157576217,1607205850022092,1607206156362191
272,1607205850008956,1607206157606220,1607205838671211,1607206156370877,1607205851878134,1607206158870216,1607205851258646,1607206158867464,1607205850022094,1607206157627208
273,1607205850008962,1607206158900298,1607205838671236,1607206157630156,1607205851878149,1607206160132853,1607205851258647,1607206160128267,1607205850022095,1607206158913769
274,1607205850008968,1607206160163660,1607205838671260,1607206158922913,1607205851878165,1607206161419458,1607205851258648,1607206161416793,1607205850022096,1607206160177970
275,1607205850008973,1607206161449272,1607205838671285,1607206160186369,1607205851878178,1607206162707550,1607205851258649,1607206162704655,1607205850022098,1607206161467839
276,1607205850008979,1607206162735391,1607205838671309,1607206161473754,1607205851878194,1607206163971529,1607205851258649,1607206163968695,1607205850022099,1607206162755789
277,1607205850008981,1607206163997795,1607205838671334,1607206162757953,1607205851878209,1607206165229318,1607205851258650,1607206165226486,1607205850022101,1607206164012007
278,1607205851877434,1607206165257347,1607205838671358,1607206164023997,1607205853741082,1607206166488773,1607205853142164,1607206166483933,1607205851891077,1607206165270307
279,1607205851877442,1607206166519533,1607205838671382,1607206165280754,1607205853744007,1607206167779742,1607205853142168,1607206167775015,1607205851891081,1607206166533504
